gameDuration,win,FirstBlood,FirstTower,FirstBaron,FirstDragon,wardPlaced,wardKills,totalMinionKills,jungleMinionKills,totalHeal
1428,Blue,1,1,0,1,0,1,1,1,1
937,Blue,1,1,0,0,1,1,1,1,1
932,Blue,0,1,0,1,1,1,1,1,1
2049,Blue,0,1,0,0,0,0,1,1,0
1834,Red,1,1,1,0,1,0,0,0,1
1473,Blue,1,1,1,1,1,1,1,0,0
1718,Blue,1,1,0,1,1,1,1,1,0
2381,Blue,0,0,1,1,1,0,0,0,0
1618,Blue,0,1,0,0,0,1,1,1,1
924,Blue,1,1,0,0,1,1,1,1,1
1292,Blue,1,1,0,1,1,1,1,1,1
1858,Red,0,0,1,0,1,1,0,0,1
1488,Red,1,1,1,0,1,0,0,1,1
1528,Blue,1,0,0,1,1,1,1,1,1
1141,Red,1,1,1,1,1,0,1,1,1
1583,Red,1,1,1,1,1,0,0,1,1
1548,Blue,1,1,0,1,0,1,0,1,1
2398,Blue,1,1,0,0,1,1,0,1,0
1213,Blue,1,1,0,0,1,0,1,1,0
1565,Blue,1,1,0,0,1,0,1,1,0
1610,Blue,0,1,0,1,1,1,1,1,1
1244,Blue,1,1,0,1,1,1,1,1,1
1271,Red,1,1,1,1,1,1,1,1,1
1512,Blue,0,1,0,0,1,1,0,1,1
2064,Red,0,1,1,1,1,1,1,1,1
1812,Blue,0,0,0,0,0,1,0,1,1
1682,Blue,1,0,1,0,1,0,0,1,0
2338,Blue,1,1,0,1,1,0,1,0,0
1972,Red,1,0,1,1,0,1,0,1,1
1112,Blue,1,0,0,0,1,0,1,0,1
2099,Blue,0,1,0,1,0,1,1,0,0
1588,Red,1,1,1,1,1,1,1,1,1
1209,Blue,0,0,0,0,1,1,1,1,1
2653,Blue,0,1,0,0,0,0,0,1,0
1567,Blue,0,1,0,1,1,0,0,1,1
1693,Blue,0,1,0,0,0,1,0,0,1
1230,Blue,1,0,0,0,1,0,1,0,1
1666,Red,1,0,1,1,1,0,0,1,1
1386,Red,1,1,1,1,1,1,0,0,1
1320,Red,1,1,1,1,0,1,1,1,1
1767,Blue,0,1,0,0,1,1,1,1,0
1363,Red,1,1,1,0,0,1,1,1,1
1463,Red,0,1,1,1,1,1,0,0,1
1635,Red,1,1,1,0,1,0,1,1,1
2048,Red,0,0,1,1,0,0,0,1,0
1265,Blue,1,1,0,1,1,1,1,1,1
2530,Red,1,0,1,1,1,0,0,0,0
1843,Red,0,1,1,1,0,1,0,1,1
1242,Red,0,1,1,1,1,1,0,1,1
1822,Blue,1,1,1,0,0,0,1,1,1
1511,Red,1,1,1,1,1,0,1,1,1
1612,Blue,0,1,0,0,1,0,1,1,1
2012,Blue,1,0,1,0,0,1,0,0,0
1688,Blue,0,1,1,0,1,1,1,1,0
1860,Red,1,1,1,0,1,1,0,1,1
1411,Blue,0,1,1,1,1,0,1,1,1
1538,Blue,0,1,1,0,1,0,1,1,1
1943,Red,1,1,1,1,0,1,0,0,1
1773,Blue,1,1,1,1,1,1,1,0,1
1338,Red,1,1,1,1,1,0,1,1,0
1491,Blue,1,1,1,0,1,1,1,1,0
1041,Red,1,0,1,0,0,1,1,1,1
1660,Red,1,0,1,1,1,0,1,0,1
1808,Blue,1,1,1,0,1,1,1,1,1
947,Red,1,1,1,1,1,1,1,0,1
1540,Blue,1,1,1,0,0,1,1,1,1
1135,Red,1,0,1,0,1,0,1,0,1
1399,Blue,0,1,1,0,0,1,1,1,1
2875,Red,1,0,0,1,0,0,1,0,1
1719,Blue,1,1,1,0,0,1,0,1,1
1527,Red,0,1,1,1,1,0,1,1,1
